epoch,val_acc,val_loss,val_f1,val_precision,val_recall,val_auc,time
1,0.7183,0.5204,0.4180,0.3592,0.5000,0.9334,18.22
2,0.8485,0.3365,0.8133,0.8124,0.8141,0.9192,39.63
3,0.8853,0.2879,0.8688,0.8519,0.9026,0.9496,17.13
4,0.8818,0.2671,0.8403,0.8860,0.8143,0.9640,16.65
5,0.9178,0.2119,0.8997,0.8950,0.9049,0.9716,17.17
6,0.9195,0.2130,0.8948,0.9233,0.8747,0.9774,16.72
7,0.9135,0.2057,0.8971,0.8850,0.9130,0.9748,16.50
8,0.9212,0.1896,0.9072,0.8924,0.9285,0.9826,16.55
9,0.9375,0.1668,0.9209,0.9322,0.9112,0.9805,16.53
10,0.9392,0.1484,0.9265,0.9181,0.9364,0.9849,16.83
11,0.9469,0.1487,0.9325,0.9468,0.9206,0.9842,16.55
12,0.9461,0.1426,0.9313,0.9461,0.9190,0.9855,16.54
13,0.9546,0.1278,0.9439,0.9443,0.9435,0.9871,17.18
14,0.9555,0.1214,0.9445,0.9488,0.9404,0.9880,16.58
15,0.9478,0.1440,0.9330,0.9526,0.9175,0.9854,16.56
16,0.9503,0.1226,0.9379,0.9432,0.9331,0.9881,17.72
17,0.9538,0.1187,0.9435,0.9389,0.9484,0.9898,17.06
18,0.8878,0.2512,0.8737,0.8563,0.9164,0.9888,16.81
19,0.9546,0.1209,0.9450,0.9374,0.9536,0.9905,16.48
20,0.9598,0.1056,0.9496,0.9564,0.9434,0.9912,16.33
21,0.9538,0.1209,0.9419,0.9501,0.9346,0.9883,16.28
22,0.9546,0.1144,0.9450,0.9374,0.9536,0.9912,16.53
23,0.9580,0.1167,0.9481,0.9485,0.9477,0.9893,16.53
24,0.9589,0.1203,0.9500,0.9439,0.9566,0.9901,16.48
25,0.9606,0.1042,0.9505,0.9588,0.9430,0.9915,16.43
26,0.9555,0.1178,0.9430,0.9612,0.9284,0.9912,16.49
27,0.9640,0.1017,0.9555,0.9563,0.9546,0.9913,16.49
28,0.9632,0.1028,0.9550,0.9506,0.9596,0.9924,16.44
29,0.9589,0.1096,0.9493,0.9485,0.9501,0.9912,16.66
30,0.9606,0.1141,0.9522,0.9448,0.9606,0.9921,16.30
31,0.9589,0.1068,0.9496,0.9464,0.9529,0.9910,16.31
32,0.9580,0.1074,0.9487,0.9444,0.9532,0.9915,16.40
33,0.9658,0.0928,0.9575,0.9593,0.9558,0.9932,16.51
34,0.9623,0.0975,0.9528,0.9592,0.9470,0.9922,16.63
35,0.9529,0.1236,0.9396,0.9594,0.9238,0.9904,16.27
36,0.9632,0.0944,0.9538,0.9616,0.9467,0.9930,16.82
37,0.9606,0.1068,0.9514,0.9506,0.9523,0.9915,17.85
38,0.9649,0.0937,0.9563,0.9594,0.9534,0.9931,16.75
39,0.9589,0.0986,0.9488,0.9523,0.9455,0.9925,16.36
40,0.9615,0.1056,0.9515,0.9604,0.9436,0.9917,16.36
41,0.9640,0.0952,0.9557,0.9548,0.9565,0.9926,16.50
42,0.9606,0.1103,0.9499,0.9648,0.9375,0.9929,16.56
43,0.9649,0.1016,0.9560,0.9629,0.9497,0.9932,16.65
44,0.9563,0.1144,0.9473,0.9378,0.9585,0.9938,16.51
45,0.9606,0.1009,0.9519,0.9472,0.9569,0.9931,16.41
