round,accuracy,loss,f1,precision,recall,auc,time
1,0.7183,1.0362,0.4180,0.3592,0.5000,0.7262,46.31
2,0.2817,2.5145,0.2198,0.1408,0.5000,0.6133,45.14
3,0.7183,1.9431,0.4180,0.3592,0.5000,0.3975,45.21
4,0.7183,6.3529,0.4180,0.3592,0.5000,0.5000,47.09
5,0.7183,11.3401,0.4180,0.3592,0.5000,0.5000,46.49
6,0.7183,15.9770,0.4180,0.3592,0.5000,0.5000,54.94
7,0.7183,24.1217,0.4180,0.3592,0.5000,0.5000,47.53
8,0.7183,35.1207,0.4180,0.3592,0.5000,0.5000,46.40
9,0.7183,43.3167,0.4180,0.3592,0.5000,0.5000,45.46
10,0.7183,53.4975,0.4180,0.3592,0.5000,0.5000,45.42
11,0.7183,66.3944,0.4180,0.3592,0.5000,0.5000,44.63
12,0.7183,88.3646,0.4180,0.3592,0.5000,0.5000,44.55
13,0.7183,113.5888,0.4180,0.3592,0.5000,0.5000,45.61
14,0.7183,136.8468,0.4180,0.3592,0.5000,0.5000,46.41
15,0.7183,161.6326,0.4180,0.3592,0.5000,0.5000,46.06
